address,amount
0x0e3399b36352FCA55a0E614A46b56dE9Baedb460,100
0x187999905BC1ED3222214F167A02060cF23378A0,80
0x4a1d5FB10069F5ee2bB8eb117BD86Ea24274aFd1,80
0x7b0d33e6aef5CC75397aE709a80f2b2fa15b7650,60
0xf26ebfe0072e1f10269fdeb2ae88126054333219,40
0xfc0C628c13028e51d8d05662e11220ab41932C7E,40
0x07C1FAB31f00359e3418650f8A1FD8E8932E56Cb,20
0x8b1577755446c73Ba5423777d5105b27D2fBC00d,20
0x0379A614d2437A7c7C627a1BA980d7ab8e2114E0,20
0x63d25f8B93baacfeAA9551A955F9653B63375D74,20
0x8b1577755446c73Ba5423777d5105b27D2fBC00d,300
0x4a1d5FB10069F5ee2bB8eb117BD86Ea24274aFd1,200
0xCB04c495Da7D23dA300270719D2C46a45e631aE1,150
0x187999905BC1ED3222214F167A02060cF23378A0,150
0x47850dE6274272A7D67ca65d13DD59De4F7b0Ab8,150
0xed8013d8c82eFAfdFB6Dd0BD65152a16B9202D91,150
0x42f16efcb8DdcAcdBB79F4cc4DAa198cF5f4c744,150
0xf33ac05478639352a1978BF961E276c8a9a01eaF,100
0x07C1FAB31f00359e3418650f8A1FD8E8932E56Cb,100
0xd175Eb66B0ed5cE19E7597b173FfdD7460507daD,100
0xd0F5C63851addd6C6438499A3dBAC0AdDB4610FA,100
0x3F9a1763b3415A6baEE51E12E0bc712f2F9bC2E5,100
0xd4a0C76e7eE6B13fdE19f590851be7Dd3b806448,50
0xde0a7ea480c3651d9d08eb8255d7eb6481d5f4b0,50
0xACA9C296e85e68642F75Da73b42d59D57926Ff1D,50
0xbFE627feF6A2aA93F695B32550E812A8E2E1B23B,50
0x152e2c047EAf334EDbF1FBA9eb90FFF493c296cd,50
0xD7502C52De0c71d2990B1a91286181543Bdb0999,50
0x71Ab3b82904ff267D20CccBfC799322dfFe9B13d,50
